plant_id,plant_name,location,capacity_mw,fuel,fuel_raw,ownership_class,owning_entity,sponsor,commissioning_date,date_precision,commissioning_note,source_doc
bd-rupsa-khulna-105-mw-pp-2018,"Rupsa, Khulna 105 MW PP",Rupsa,105.0,hfo,HFO,ipp,,,2018-10-14,day,,bpdb_ar2019_20_commissioning
bd-chandpur-200-mw-pp-2018,Chandpur 200 MW PP,Chandpur,200.0,hfo,HFO,ipp,,,2018-11-09,day,,bpdb_ar2019_20_commissioning
bd-julda-ctg-100-mw-pp-unit-3-2018,"Julda, CTG 100 MW PP (Unit-3)",Julda,100.0,hfo,HFO,ipp,,,2018-11-09,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-150-mw-pp-midland-2018,Ashuganj 150 MW PP (Midland),Ashuganj,150.0,hfo,HFO,ipp,Midland,Midland,2018-11-27,day,,bpdb_ar2019_20_commissioning
bd-baghabari-200-mw-pp-2019,Baghabari 200 MW PP,Baghabari,200.0,hsd,HSD,ipp,,,2019-02-16,day,,bpdb_ar2019_20_commissioning
bd-jamalpur-115-mw-power-plant-2019,Jamalpur 115 MW Power Plant,Jamalpur,115.0,hfo,HFO,ipp,,,2019-02-19,day,,bpdb_ar2019_20_commissioning
bd-sirajgonj-225-mw-ccpp-3rd-unit-st-unit-2019,Sirajgonj 225 MW CCPP (3rd Unit) (ST Unit),Sirajgonj,79.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2019-01-20,day,,bpdb_ar2019_20_commissioning
bd-bibiana-3-ccpp-2019,Bibiana #3 CCPP,Bibiana,400.0,gas,Gas,public,BPDB,,2019-02-06,day,"GT: 06 February, 2019; ST: 24 September, 2019",bpdb_ar2019_20_commissioning
bd-modumoti-bagerhat-100-mw-pp-2019,"Modumoti, Bagerhat 100 MW PP",Modumoti,105.0,hfo,HFO,public,NWPGCL,,2019-04-15,day,,bpdb_ar2019_20_commissioning
bd-gazipur-100-mw-pp-2019,Gazipur 100 MW PP,Gazipur,105.0,hfo,HFO,public,RPCL,,2019-05-25,day,,bpdb_ar2019_20_commissioning
bd-kaptai-solar-power-plant-2019,Kaptai Solar Power Plant,Kaptai,7.0,solar,Solar,public,BPDB,,2019-05-28,day,,bpdb_ar2019_20_commissioning
bd-siddirganj-335-mw-ccpp-st-unit-2019,Siddirganj 335 MW CCPP ST Unit,Siddirganj,118.0,gas,Gas,public,EGCB,,2019-09-09,day,"ST: 9 September, 2019",bpdb_ar2019_20_commissioning
bd-julda-chattogram-100-mw-pp-accorn-inf-unit-2-2020,"Julda, Chattogram 100 MW PP (Accorn Inf) (Unit-2)",Julda,100.0,hfo,HFO,ipp,,,2020-03-20,day,,bpdb_ar2019_20_commissioning
bd-meghnaghat-104-mw-power-plant-2020,Meghnaghat 104 MW Power Plant,Meghnaghat,104.0,hfo,HFO,ipp,,,2020-06-30,day,,bpdb_ar2019_20_commissioning
bd-sylhet-150-mw-pp-conversion-2020,Sylhet 150 MW PP Conversion,Sylhet,87.0,gas,Gas,public,BPDB,,2020-03-14,day,,bpdb_ar2019_20_commissioning
bd-payra-potuakhali-1320-coal-fired-power-plant-1st-2020,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",Payra,622.0,coal_imported,Imported Coal,public,NWPGCL,,2020-05-15,day,,bpdb_ar2019_20_commissioning
